address,evmos_address,evmos_9000-1_staked,evmos_9000-1_count
nomic1047chthgf09z2rap5cvp8mprytul3p63y7tj35,evmos1047chthgf09z2rap5cvp8mprytul3p6368fxck,107200000,1
nomic1047v3fthd75c449j30mufg93ph9mv6tq3hytvk,evmos1047v3fthd75c449j30mufg93ph9mv6tq0wxl95,90000000,5
nomic10484xqff8l9vz06ul5d7uuy8529yqeg26a0cwf,evmos10484xqff8l9vz06ul5d7uuy8529yqeg2yydv8t,150000000,1
nomic1049eknrsr2cv9c5medmkq56q60f4k4vs6w084a,evmos1049eknrsr2cv9c5medmkq56q60f4k4vsyhdnul,75690000,3
nomic104anmupcld2f5v4pk8fwsayfdsr2jxt8vd22nr,evmos104anmupcld2f5v4pk8fwsayfdsr2jxt8j5g76p,169026108,3
nomic104ccxvtg5hrff847shcp7p5d4mp7ekc6ujxzkd,evmos104ccxvtg5hrff847shcp7p5d4mp7ekc6ztykl0,136000000,1
nomic104egy37udc4j8e4jrz0c0u6plc6x79y87td62k,evmos104egy37udc4j8e4jrz0c0u6plc6x79y8qj0wr5,141616080,3
nomic104gjmffx7747qn42zc7ftpds8znwpg2cgpcc6d,evmos104gjmffx7747qn42zc7ftpds8znwpg2ckc6vn0,197399999,3
nomic104la5d62k0klt65vxmcnrusvg0vdn4eek0d2ss,evmos104la5d62k0klt65vxmcnrusvg0vdn4eegk07ej,12000000,2
nomic104m74533h3hvxl8ldv7q4s0x9nmdg7tzfqysem,evmos104m74533h3hvxl8ldv7q4s0x9nmdg7tzhexyse,235000000,1
nomic104mwh39p7armqnd5hkhwpwe7d8yjkgtv8f5fha,evmos104mwh39p7armqnd5hkhwpwe7d8yjkgtveska7l,15300000,3
nomic104pex9j936paq5xme6vp089ud2dhmpx26xev8u,evmos104pex9j936paq5xme6vp089ud2dhmpx2ylmcw7,4950125,1
nomic104pjddvpv9ty84c2dred9wsvlhecrjql7lxvu4,evmos104pjddvpv9ty84c2dred9wsvlhecrjqlqxyc4h,28000000,1
nomic104px22j7l3pqchv829wdjrlcpuv5lfjugaye5w,evmos104px22j7l3pqchv829wdjrlcpuv5lfjukyxdav,2000000,1
nomic104q546907qswk5x4yfdpz39jvndzytmnxtlaxz,evmos104q546907qswk5x4yfdpz39jvndzytmncjaf0q,7956008,1
nomic104q9x5gvpckwpuf8e7yslkuy7x3kehrdu05z97,evmos104q9x5gvpckwpuf8e7yslkuy7x3kehrdzkkkvu,80000000,1
nomic104s7az2l4ryujl6ge9lh5euanawggcy7wan9zg,evmos104s7az2l4ryujl6ge9lh5euanawggcy7sy33t2,80000000,4
nomic104suzfejld4m6nms3zrxz36jnunzmnt4wu3ptz,evmos104suzfejld4m6nms3zrxz36jnunzmnt4s9n4zq,6883967,1
nomic104v9345njywyc0qx47c5wlt3qaf5j6ty0fcark,evmos104v9345njywyc0qx47c5wlt3qaf5j6ty3s6f25,100000000,2
nomic104vvyggcpn9jpy6fgu3uk9z8jmy477h598fa58,evmos104vvyggcpn9jpy6fgu3uk9z8jmy477h5m7tfa9,416360000,1
nomic104w3tkchcfnjdjhh9tqu9754lw9a46j29c6yqt,evmos104w3tkchcfnjdjhh9tqu9754lw9a46j2mpcsff,3400000,1
nomic104ykuqzlxlep7kqdv67nk83khtapvl2dufdrjk,evmos104ykuqzlxlep7kqdv67nk83khtapvl2dzs0hm5,100100000,1
nomic104ym4yxvvl7quu2fes6z69enfsmaak7a8lp7p6,evmos104ym4yxvvl7quu2fes6z69enfsmaak7aexr2gc,26000000,1
nomic104yq6haqaz43yvkq9khe4w3nlkqjnpl6c5v0kg,evmos104yq6haqaz43yvkq9khe4w3nlkqjnpl6xdwml2,396697515,1
nomic104zen4x9c5tt28t0945ps8dutjff6y7n99vu7h,evmos104zen4x9c5tt28t0945ps8dutjff6y7nmuwgh4,13999999,1
nomic104zhcng8env2k4tzxzz98nfmytndwltkjsnd74,evmos104zhcng8env2k4tzxzz98nfmytndwltkvf3ehh,75010000,2
nomic104zjdegpdt9kjd5gxasgtwqw88f3w60vln6rwc,evmos104zjdegpdt9kjd5gxasgtwqw88f3w60vp2ch86,54740650,2
nomic1050lky5nluwjj8me02te48c2lhy9c8mw2t79jr,evmos1050lky5nluwjj8me02te48c2lhy9c8mw5ju3mp,74000000,2
nomic1050wshhdg3nj3j2q23juz53fgpnzeuywvxuy5p,evmos1050wshhdg3nj3j2q23juz53fgpnzeuywjl7sar,70000000,1
nomic1052936skl8gg8fv4vdsjkz8j0du6fk5f06970q,evmos1052936skl8gg8fv4vdsjkz8j0du6fk5f3r82xz,20959023,2
nomic1052vesf79lcc86vjatrxslj0n6hmwylfjjd7j0,evmos1052vesf79lcc86vjatrxslj0n6hmwylfvt02md,175030374,4
nomic1053fpv9k3u25krgru5ez2w4hqw5e46djv4396d,evmos1053fpv9k3u25krgru5ez2w4hqw5e46djjvn3n0,777000000,1
nomic1053me8zzhq9cm8yd5v6lf0yz0q9rpvmkc6dua3,evmos1053me8zzhq9cm8yd5v6lf0yz0q9rpvmkxr0g5n,75000000,2
nomic1053merd8lw06fxhh6axmxv5w09cy223g9w7p2l,evmos1053merd8lw06fxhh6axmxv5w09cy223gmhu4ra,10570000,2
nomic1055lhx28naf7fal3mcchyzhvc8369n9fqpkctp,evmos1055lhx28naf7fal3mcchyzhvc8369n9f7c5vzr,50000000,1
nomic10562krj0fh936q4eeh5zn7lgvyza0u8ca8wdxx,evmos10562krj0fh936q4eeh5zn7lgvyza0u8cr7ve0y,50001312,1
nomic1056cektpg62e85lpmatam7kge5775duukycn85,evmos1056cektpg62e85lpmatam7kge5775duuga68wk,2000000,2
nomic1056rqlum4rr5hsj2uddm55lj9cfnt5sc84m2c8,evmos1056rqlum4rr5hsj2uddm55lj9cfnt5sceve739,19898563,1
nomic1057ech4eru2w0kwl2n53frpxa4j35nwvf85jld,evmos1057ech4eru2w0kwl2n53frpxa4j35nwvh7kxk0,13404728,1
nomic1057jhxyha3eeas3dhdxdxuuazm2kd5wchppyu0,evmos1057jhxyha3eeas3dhdxdxuuazm2kd5wcfcrs4d,2000000,2
nomic105a4dgpkepext8sjmusfkwhljejj8k6x5y0m7q,evmos105a4dgpkepext8sjmusfkwhljejj8k6x2ad0hz,2500000000,3
nomic105andh6td2fhhuxxmdxnykrgprupqtl5882579,evmos105andh6td2fhhuxxmdxnykrgprupqtl5e7gqh8,255850000,1
nomic105au5d3gzdpjypscyn6zzjmer09dknsmr64qmj,evmos105au5d3gzdpjypscyn6zzjmer09dknsmarh5js,9550000,1
nomic105c2yh7s3q6hwsjz4y9npngwq2q2kluce8yawj,evmos105c2yh7s3q6hwsjz4y9npngwq2q2kluc87xf8s,103900000,3
nomic105ccql3prcg5qefp8ksfl76h2ztlxesp6az67w,evmos105ccql3prcg5qefp8ksfl76h2ztlxespyyqwhv,100110000,1
nomic105cqzw2v2vc4dz6yg797p369vjyws4pqv5q053,evmos105cqzw2v2vc4dz6yg797p369vjyws4pqjdzman,50001319,1
nomic105dma8k9c526laussqdva8skfwgrfkw4lujcqh,evmos105dma8k9c526laussqdva8skfwgrfkw4p9svf4,13900000,1
nomic105ednxyk6xa5ymqjwsts6u0qm8fg4s8ae8tmst,evmos105ednxyk6xa5ymqjwsts6u0qm8fg4s8a87f0ef,100987500,1
nomic105fj9j99p0anlffj6jl2zqtenu99xhc47u8z8h,evmos105fj9j99p0anlffj6jl2zqtenu99xhc4q99kw4,506000000,2
nomic105fl3tdgy5e265n5ryd0auvu4x3z0m68yghjmx,evmos105fl3tdgy5e265n5ryd0auvu4x3z0m68634xjy,50250027,1
nomic105g03sjn0wkqz3uln3ucj0z0l0thn57pmfcpv3,evmos105g03sjn0wkqz3uln3ucj0z0l0thn57p9s649n,15000000,1
nomic105g9fmmkgy5uucjsynuuz7zq0htxt4uacxft67,evmos105g9fmmkgy5uucjsynuuz7zq0htxt4uaxltlnu,216762708,2
